,month,day,hour,value,timestamp,timestamps
183,11,21,8,90,2018-11-21 08:00:00,1542805200.0
184,11,21,9,61,2018-11-21 09:00:00,1542808800.0
185,11,22,0,45,2018-11-22 00:00:00,1542862800.0
186,11,22,1,51,2018-11-22 01:00:00,1542866400.0
187,11,22,10,11,2018-11-22 10:00:00,1542898800.0
188,11,22,11,12,2018-11-22 11:00:00,1542902400.0
189,11,22,12,16,2018-11-22 12:00:00,1542906000.0
190,11,22,13,24,2018-11-22 13:00:00,1542909600.0
191,11,22,14,19,2018-11-22 14:00:00,1542913200.0
192,11,22,15,52,2018-11-22 15:00:00,1542916800.0
193,11,22,16,43,2018-11-22 16:00:00,1542920400.0
194,11,22,17,23,2018-11-22 17:00:00,1542924000.0
195,11,22,18,32,2018-11-22 18:00:00,1542927600.0
196,11,22,19,60,2018-11-22 19:00:00,1542931200.0
197,11,22,2,43,2018-11-22 02:00:00,1542870000.0
198,11,22,20,42,2018-11-22 20:00:00,1542934800.0
199,11,22,21,28,2018-11-22 21:00:00,1542938400.0
200,11,22,22,47,2018-11-22 22:00:00,1542942000.0
201,11,22,23,49,2018-11-22 23:00:00,1542945600.0
202,11,22,3,32,2018-11-22 03:00:00,1542873600.0
203,11,22,4,33,2018-11-22 04:00:00,1542877200.0
204,11,22,5,19,2018-11-22 05:00:00,1542880800.0
205,11,22,6,15,2018-11-22 06:00:00,1542884400.0
206,11,22,7,20,2018-11-22 07:00:00,1542888000.0
207,11,22,8,10,2018-11-22 08:00:00,1542891600.0
208,11,22,9,10,2018-11-22 09:00:00,1542895200.0
209,11,23,0,43,2018-11-23 00:00:00,1542949200.0
210,11,23,1,45,2018-11-23 01:00:00,1542952800.0
211,11,23,10,59,2018-11-23 10:00:00,1542985200.0
212,11,23,11,36,2018-11-23 11:00:00,1542988800.0
213,11,23,12,39,2018-11-23 12:00:00,1542992400.0
214,11,23,13,98,2018-11-23 13:00:00,1542996000.0
215,11,23,14,82,2018-11-23 14:00:00,1542999600.0
216,11,23,15,65,2018-11-23 15:00:00,1543003200.0
217,11,23,16,56,2018-11-23 16:00:00,1543006800.0
218,11,23,17,59,2018-11-23 17:00:00,1543010400.0
219,11,23,18,56,2018-11-23 18:00:00,1543014000.0
220,11,23,19,88,2018-11-23 19:00:00,1543017600.0
221,11,23,2,43,2018-11-23 02:00:00,1542956400.0
222,11,23,20,59,2018-11-23 20:00:00,1543021200.0
223,11,23,21,80,2018-11-23 21:00:00,1543024800.0
224,11,23,22,69,2018-11-23 22:00:00,1543028400.0
225,11,23,23,48,2018-11-23 23:00:00,1543032000.0
226,11,23,3,40,2018-11-23 03:00:00,1542960000.0
227,11,23,4,29,2018-11-23 04:00:00,1542963600.0
228,11,23,5,36,2018-11-23 05:00:00,1542967200.0
229,11,23,6,22,2018-11-23 06:00:00,1542970800.0
230,11,23,7,45,2018-11-23 07:00:00,1542974400.0
231,11,23,8,38,2018-11-23 08:00:00,1542978000.0
232,11,23,9,44,2018-11-23 09:00:00,1542981600.0
233,11,24,0,52,2018-11-24 00:00:00,1543035600.0
234,11,24,1,39,2018-11-24 01:00:00,1543039200.0
